2,1,256,139,46,112,-1,-1,-1,-1
2,2,166,73,50,92,-1,-1,-1,-1
2,3,246,55,66,129,-1,-1,-1,-1
2,4,421,132,55,117,-1,-1,-1,-1
3,1,256,140,46,111,-1,-1,-1,-1
3,2,166,74,49,90,-1,-1,-1,-1
3,3,247,55,65,128,-1,-1,-1,-1
3,4,422,130,54,115,-1,-1,-1,-1
4,1,255,140,46,111,-1,-1,-1,-1
4,2,166,74,48,90,-1,-1,-1,-1
4,3,247,55,65,128,-1,-1,-1,-1
4,4,424,129,52,111,-1,-1,-1,-1
5,1,255,140,47,111,-1,-1,-1,-1
5,2,166,75,48,89,-1,-1,-1,-1
5,3,246,54,67,129,-1,-1,-1,-1
5,4,424,128,52,110,-1,-1,-1,-1
6,1,257,139,46,107,-1,-1,-1,-1
6,2,165,75,48,88,-1,-1,-1,-1
6,3,247,53,66,131,-1,-1,-1,-1
6,4,423,126,53,112,-1,-1,-1,-1
7,1,258,138,45,107,-1,-1,-1,-1
7,2,165,76,47,86,-1,-1,-1,-1
7,3,246,52,67,132,-1,-1,-1,-1
7,4,422,124,55,116,-1,-1,-1,-1
8,1,258,137,46,107,-1,-1,-1,-1
8,2,165,76,46,86,-1,-1,-1,-1
8,3,247,52,66,132,-1,-1,-1,-1
8,4,422,120,55,115,-1,-1,-1,-1
9,1,258,138,44,104,-1,-1,-1,-1
9,3,247,63,63,124,-1,-1,-1,-1
9,4,422,118,54,115,-1,-1,-1,-1
10,1,258,138,45,104,-1,-1,-1,-1
10,3,247,55,65,130,-1,-1,-1,-1
10,4,421,116,55,117,-1,-1,-1,-1
11,1,258,138,45,104,-1,-1,-1,-1
11,3,247,53,66,132,-1,-1,-1,-1
11,4,420,114,57,119,-1,-1,-1,-1
12,1,258,137,45,104,-1,-1,-1,-1
12,3,247,62,64,127,-1,-1,-1,-1
12,4,420,113,56,118,-1,-1,-1,-1
12,7,471,119,59,107,-1,-1,-1,-1
12,8,208,147,55,86,-1,-1,-1,-1
12,9,102,140,67,146,-1,-1,-1,-1
13,1,258,137,45,103,-1,-1,-1,-1
13,3,248,68,60,120,-1,-1,-1,-1
13,4,419,111,57,119,-1,-1,-1,-1
13,7,471,118,56,103,-1,-1,-1,-1
13,8,210,148,53,82,-1,-1,-1,-1
13,9,102,140,67,146,-1,-1,-1,-1
14,1,259,136,45,103,-1,-1,-1,-1
14,2,170,94,41,73,-1,-1,-1,-1
